,Name,Team,Threat per fixture adj,Threat per game adj,Team games,Played,Threat GW47 adj 7 - average,Threat GW46 adj 7 - average,Threat GW45 adj 7 - average,Threat GW44 adj 7 - average,Threat GW43 adj 7 - average,Threat GW42 adj 7 - average,Threat GW41 adj 7 - average,Threat GW40 adj 7 - average,Threat GW39 adj* 7 - average,Threat GW39 adj 7 - average,Threat GW38 adj 7 - average,Threat GW37 adj 7 - average,Threat GW36 adj 7 - average,Threat GW35 adj 7 - average,Threat GW34 adj 7 - average,Threat GW33 adj 7 - average,Threat GW32 adj 7 - average,Threat GW31 adj 7 - average,Threat GW30 adj 7 - average,Threat GW29 adj 7 - average,Threat GW28 adj 7 - average,Threat GW27 adj 7 - average,Threat GW26 adj 7 - average,Threat GW25 adj 7 - average,Threat GW24 adj* 7 - average,Threat GW24 adj 7 - average,Threat GW23 adj 7 - average,Threat GW22 adj 7 - average,Threat GW21 adj 7 - average,Threat GW20 adj 7 - average,Threat GW19 adj 7 - average,Threat GW18 adj 7 - average,Threat GW17 adj 7 - average,Threat GW16 adj 7 - average,Threat GW15 adj 7 - average,Threat GW14 adj 7 - average,Threat GW13 adj 7 - average,Threat GW12 adj 7 - average,Threat GW11 adj 7 - average,Threat GW10 adj 7 - average,Threat GW9 adj 7 - average,Threat GW8 adj 7 - average,Threat GW7 adj 7 - average,Threat GW47 adj color,Threat GW47 adj,Threat GW46 adj color,Threat GW46 adj,Threat GW45 adj color,Threat GW45 adj,Threat GW44 adj color,Threat GW44 adj,Threat GW43 adj color,Threat GW43 adj,Threat GW42 adj color,Threat GW42 adj,Threat GW41 adj color,Threat GW41 adj,Threat GW40 adj color,Threat GW40 adj,Threat GW39 adj* color,Threat GW39 adj*,Threat GW39 adj color,Threat GW39 adj,Threat GW38 adj color,Threat GW38 adj,Threat GW37 adj color,Threat GW37 adj,Threat GW36 adj color,Threat GW36 adj,Threat GW35 adj color,Threat GW35 adj,Threat GW34 adj color,Threat GW34 adj,Threat GW33 adj color,Threat GW33 adj,Threat GW32 adj color,Threat GW32 adj,Threat GW31 adj color,Threat GW31 adj,Threat GW30 adj color,Threat GW30 adj,Threat GW29 adj color,Threat GW29 adj,Threat GW28 adj color,Threat GW28 adj,Threat GW27 adj color,Threat GW27 adj,Threat GW26 adj color,Threat GW26 adj,Threat GW25 adj color,Threat GW25 adj,Threat GW24 adj* color,Threat GW24 adj*,Threat GW24 adj color,Threat GW24 adj,Threat GW23 adj color,Threat GW23 adj,Threat GW22 adj color,Threat GW22 adj,Threat GW21 adj color,Threat GW21 adj,Threat GW20 adj color,Threat GW20 adj,Threat GW19 adj color,Threat GW19 adj,Threat GW18 adj color,Threat GW18 adj,Threat GW17 adj color,Threat GW17 adj,Threat GW16 adj color,Threat GW16 adj,Threat GW15 adj color,Threat GW15 adj,Threat GW14 adj color,Threat GW14 adj,Threat GW13 adj color,Threat GW13 adj,Threat GW12 adj color,Threat GW12 adj,Threat GW11 adj color,Threat GW11 adj,Threat GW10 adj color,Threat GW10 adj,Threat GW9 adj color,Threat GW9 adj,Threat GW8 adj color,Threat GW8 adj,Threat GW7 adj color,Threat GW7 adj,Threat GW6 adj color,Threat GW6 adj,Threat GW5 adj color,Threat GW5 adj,Threat GW4 adj color,Threat GW4 adj,Threat GW3 adj color,Threat GW3 adj,Threat GW2 adj color,Threat GW2 adj,Threat GW1 adj color,Threat GW1 adj
1,Mohamed Salah,Liverpool,54.20984081654496,60.58746914790319,38,34,64.54562298769692,69.26946007948017,64.46623532547031,54.649336145205055,38.743740823839126,17.483505428112828,21.091834311819333,36.07088783880297,40.749793547904865,40.749793547904865,51.883126786719494,51.883126786719494,51.883126786719494,51.883126786719494,51.883126786719494,51.883126786719494,51.883126786719494,51.883126786719494,51.883126786719494,51.883126786719494,66.51021533377072,67.14661646803306,76.06051725788079,81.29008680791685,67.01781367638475,68.03672489595957,72.17149356321596,55.85456303560657,57.33659034260596,45.572518686559384,42.924715711233645,41.011130361384176,41.011130361384176,43.60929980322094,28.341197897149936,43.85908220473248,51.78301410011435,53.71155377870849,53.185400846107605,53.57771654571719,59.904222785802304,65.5801953005387,54.82439141278508,pink,15.921072700176516,light green,33.6225732780691,green,80.54718812576382,green,116.6366206321489,green,168.77284383347603,red,5.11291566646623,light green,31.20614667777783,light green,48.987932342659306,white,,red,0.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,11.828893863907147,red,5.297453382587391,pink,19.951196063391887,light green,30.371217852411778,green,136.05952136666326,green,81.7402723063726,green,77.93333267170235,green,114.21851369326573,red,9.752261322423854,green,82.34850159232602,green,66.97820470266407,light green,36.15360944593861,white,,green,88.87265084339637,green,106.876713342497,red,0.0,pink,20.12645247141966,red,0.0,light green,48.44358387538386,pink,22.758511996992343,green,107.0598369362537,red,0.0,green,108.62519015307777,green,75.59397573909277,pink,13.499777750158987,light green,44.760513347177636,light green,25.504721894259358,green,151.34538061684964,light green,39.731807603154756,light green,33.33456293880244
2,Gabriel Fernando de Jesus,Man City,52.47911504908822,58.653128584275066,38,34,76.7234596565681,66.63253043624204,65.02193583041063,61.9930487045008,39.37901924708321,39.82845172026753,31.30552799665553,28.640487796480556,41.683183324662586,37.64836476777746,50.9784780739691,50.9784780739691,50.9784780739691,50.9784780739691,50.9784780739691,50.9784780739691,50.9784780739691,50.9784780739691,50.9784780739691,50.9784780739691,71.04446932230985,71.04446932230985,63.15184468906544,50.802147201624976,75.9376740283321,75.9376740283321,69.49081915114127,79.07561869746199,75.18933234087146,64.54443749010416,64.54443749010416,64.54443749010416,47.44016426461371,51.959433607665765,61.59866214354975,50.53892915368931,52.86107462630893,52.86107462630893,54.938186015559936,46.578300327913084,35.46319033386984,22.631552098917343,24.315842910178223,green,70.6365045422824,light green,45.26727721803047,light green,37.19317182257739,green,164.80086440906254,green,52.10234512042063,green,146.10834847736726,pink,20.9557060062359,red,0.0,light green,33.99311497721059,pink,15.99096194120866,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,6.502658207139412,white,,green,55.24837243271091,green,86.44788241208323,red,2.3004246050111057,white,,green,91.29886869727423,red,5.749385079014629,green,109.30175508455024,green,146.96459694552468,red,0.0,red,0.0,green,178.2491123919609,light green,46.1708845569384,green,72.84298190325967,green,82.0977505884166,green,72.4503329901535,red,0.0,red,0.0,green,58.51919981352788,green,77.80576995830275,green,140.31758165444757,red,4.679619659393508,green,88.70535129849074,red,0.0,pink,14.539779724757084,red,0.0,red,0.0,green,50.496114009780044,pink,16.469655338219685
3,Raheem Sterling,Man City,52.14339497458308,60.04390936467143,38,33,71.58537999678775,66.53424383980754,44.09770416468685,47.47036070194638,39.78742170353734,33.776369860243385,32.072419424252466,26.933182699986357,32.2002413649873,37.735693522542476,34.36303698528294,34.36303698528294,34.36303698528294,34.36303698528294,34.36303698528294,34.36303698528294,34.36303698528294,34.36303698528294,34.36303698528294,34.36303698528294,24.47729006832871,24.47729006832871,24.69687964224973,63.522014037728795,58.516669444587606,58.516669444587606,57.53634138301619,53.86303830338078,65.59406229385863,74.47670933133666,74.25711975741565,42.39504952898056,40.78655741061486,37.22658783223532,51.95140613618797,43.273728669479226,46.12705852462602,46.12705852462602,47.887232717802,46.7817590574416,47.797046653398375,43.86515213256106,58.91981079116331,green,77.04623521619871,green,157.0557777258447,red,0.0,green,122.98080140754297,light green,42.0773629030577,pink,11.927653051936415,green,90.00982967293376,light green,41.688282117337174,red,0.0,pink,23.608595760816712,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,69.20022841867961,white,,red,0.0,red,0.0,green,54.03517260307102,white,,green,78.55769277234377,light green,38.748165102886205,red,0.0,red,0.0,red,1.53712701744713,green,271.77594076835345,pink,18.99776045108266,green,71.69539634134387,pink,13.035043545438324,green,82.11716793334496,green,62.178529262346174,red,0.0,light green,48.74144916930792,red,7.738315622522732,light green,46.77560929268712,green,116.10877167310693,pink,21.373425666383696,green,82.15183824837376,red,0.0,green,61.06266852153971,red,0.0,green,53.88262246438458,green,88.58551002724566,green,126.75603627659945
4,Marcus Rashford,Man Utd,50.413686683107485,61.79742238574466,38,31,42.15872556128465,50.63396736932152,55.971397855445964,48.120770085856854,34.70237152991903,27.367976431947152,16.181034143473042,15.724686376406341,5.51725716034575,5.51725716034575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.011159692440398,18.528182784274065,32.17763059934716,37.894917173576765,42.896359477938354,42.896359477938354,46.36700672455288,66.5316810809891,66.41428856078848,69.65257412111835,63.57148088164906,79.88624090163125,75.97569919593572,88.29829198383642,79.83574779653445,63.94198062429467,61.876839385362814,54.308484809759,45.560984924185824,57.97820332549488,54.46451795388346,44.891243768001516,69.42345832165459,pink,12.125311856166066,red,1.2587867195491018,green,54.95439438712371,green,93.92878989156483,green,51.34076568580308,green,78.3085960193188,red,3.194434369466909,green,71.45200451242414,white,,light green,38.62080012242025,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,0.0,red,0.0,red,0.0,red,0.0,red,0.0,white,,red,0.0,red,0.0,green,112.0781178470828,pink,17.619161642835664,green,95.54613470551168,light green,40.02100601960724,light green,35.01009613053113,pink,24.294530726301648,green,141.15272049505353,green,111.2563702056785,light green,40.28716056514472,green,52.97848202922674,green,154.22432615948256,red,7.636304190662409,green,110.55268024160654,green,81.91491118393974,red,0.0,light green,25.83117189262174,red,0.0,green,92.99182696047032,green,94.55683299982589,green,85.95688264032655,pink,14.901991882766106,green,171.72550187557158
5,Tammy Abraham,Chelsea,50.30623713147301,56.224617970469836,38,34,39.62036736566563,79.36326046905128,66.88147707591423,66.88147707591423,54.97173097220193,55.55387689420695,55.55387689420695,54.35092688453621,16.038952809767302,16.038952809767302,27.55697586850901,27.55697586850901,27.55697586850901,27.55697586850901,27.55697586850901,27.55697586850901,27.55697586850901,27.55697586850901,27.55697586850901,27.55697586850901,37.44485703659371,40.151395339950035,40.228638040541895,43.91894827746354,46.475409299529574,46.475409299529574,44.62164474357952,41.762384530854,40.261064741578636,37.55452643822231,30.399651546085888,38.67210767500813,47.379806235059164,44.40828599958383,44.93930097668142,39.60050511464635,55.17685226888431,62.55071293848265,70.2481572492516,77.71280727770349,79.63971973890621,71.8434705226186,70.7470556377042,light green,31.211953597749954,green,95.88034015316477,red,0.0,green,83.36822272598616,green,58.46140501506339,red,0.0,red,8.420650067695133,green,309.41220532144945,white,,red,8.507856401205494,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,0.0,red,0.0,green,62.53642646909853,red,0.0,red,0.0,white,,light green,41.2283867980671,green,89.13401781239745,green,69.2151681765929,pink,18.945768123494258,green,63.07712537324153,light green,25.832171658451564,pink,17.895227154462162,light green,28.252034906416867,green,69.11919632331876,green,58.70592965166529,red,0.0,pink,12.993001128286574,green,83.7393645609072,green,78.84911707481943,red,7.4513932580895705,green,72.8363011630019,pink,21.334358617419735,green,109.03443007966568,green,64.61002581547494,green,137.62147473629,green,131.10166727398257,pink,20.93978048650851,pink,18.262556648988692,pink,13.659454423018909
6,Jamie Vardy,Leicester,47.35340110462402,51.41226405644894,38,35,60.48057256359302,58.118737079877725,52.522544146771224,50.08107581612459,34.94490234220875,36.904948328321396,21.82809825982725,26.532340642789546,26.88734208678515,26.88734208678515,40.539705682276924,40.539705682276924,40.539705682276924,40.539705682276924,40.539705682276924,40.539705682276924,40.539705682276924,40.539705682276924,40.539705682276924,40.539705682276924,31.474199473667948,31.474199473667948,21.895406711955975,23.09478207170778,27.580908029455053,27.580908029455053,31.17717819775802,32.85993928728264,44.239008541801105,61.016815544142865,83.74486885945909,91.57802225667442,85.59852110880668,107.90770760238378,92.01706915234294,80.63799989782447,73.17616243518556,54.24367532545615,45.21114656848904,50.130507281713044,28.776280952384184,27.98023430724287,27.98023430724287,pink,22.90882697163405,green,55.08396697266268,green,80.5488217747893,green,105.95321431741087,green,53.33122742919527,green,105.53795047945904,red,0.0,red,6.375978585626893,white,,pink,15.91061644091721,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,63.45854346026284,red,0.0,green,67.05154933198381,red,0.0,light green,32.929696680736065,white,,red,8.86098869359615,green,111.47716160935961,red,0.0,red,0.0,red,0.0,red,8.395627518262645,green,64.33257838496695,light green,34.03487987171695,green,123.25648923603192,green,79.65348478162923,green,117.44464901639239,green,159.0963732072136,green,63.22770129876978,pink,22.476070349892787,green,190.19918532675675,pink,12.02202008574604,red,0.0,green,65.21178677792004,light green,26.5689634391077,red,0.0,green,56.91159534246077,light green,40.71960102145473,red,6.449693569756834,red,0.0
7,Roberto Firmino,Liverpool,45.106776036844536,45.106776036844536,38,38,18.109806868081808,18.867079481252922,12.042659576090246,23.684346681832185,19.85266434202243,27.812359361030108,34.50070556139615,47.12177896674151,53.86176983373543,53.86176983373543,70.68423184024597,70.68423184024597,70.68423184024597,70.68423184024597,70.68423184024597,70.68423184024597,70.68423184024597,70.68423184024597,70.68423184024597,70.68423184024597,65.74653789246643,75.34475613314503,79.3989733416452,77.26086230708155,82.66662827217583,77.95801656264538,64.60621885084974,57.90222569288735,51.01171668986182,49.640551191558,49.692612009796754,29.202061538128625,29.202061538128625,35.579377479736245,37.537475710402596,48.00515656982634,45.29744733217327,45.63569667373197,41.590906964709525,46.70274140136458,42.42616536393797,42.32255092112948,41.90186272468476,red,0.0,green,53.37658246821296,red,0.0,light green,26.82177637866829,pink,17.399599436030517,red,4.516008022191547,pink,24.654681771469342,red,5.300908292197821,white,,red,5.605643132074209,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,81.49180974019359,red,0.0,green,73.11746456908428,green,51.33443142475384,green,113.00219560888686,green,52.480844361155306,green,123.36287717764792,light green,46.927952105736786,green,67.18752768475024,green,101.4969850285855,light green,36.367654182808245,green,150.84255736454693,white,,pink,19.520562394442134,light green,29.900293195078394,red,0.0,pink,18.953964663571544,green,91.89882654045876,light green,36.732079910479534,red,7.408704062870012,green,64.16177398569548,light green,43.60698080974287,green,73.27376601596623,red,0.0,green,94.26657193136971,red,8.418551947322376,light green,43.19154511945536,light green,34.22574172370916,light green,42.881679710083496,green,70.32894864085326
8,Chris Wood,Burnley,44.42036586985558,52.7491844704535,38,32,42.984353080899176,36.85882796390176,31.66666503841385,27.638051975608956,28.88555977610131,22.523876884889095,22.523876884889095,23.83317708020132,34.474242208836024,34.474242208836024,51.580146425474645,51.580146425474645,51.580146425474645,51.580146425474645,51.580146425474645,51.580146425474645,51.580146425474645,51.580146425474645,51.580146425474645,51.580146425474645,33.082038623598024,42.56163644288142,42.56163644288142,49.975638296867196,48.66633810155497,48.66633810155497,48.88926496276057,35.71037012348426,32.93210884096414,39.09069522291238,46.756902187702686,57.536679547581606,57.536679547581606,46.67268755774129,66.86969353785216,69.07177982106866,60.67841391945102,72.41112772310585,55.736165544590285,56.80349843879789,67.79939450723352,43.67537914976034,41.79247955686076,light green,42.87867581898193,light green,36.34514047841537,green,177.13487503041145,red,0.0,light green,44.5317802384855,red,0.0,red,0.0,red,0.0,white,,red,0.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,148.93458359077718,red,8.732554603446497,red,0.0,red,0.0,red,9.165101367185581,white,,green,74.48745590044291,green,119.74132951647034,pink,19.44782897764083,green,75.0897393384303,red,0.0,green,51.89801297790043,red,0.0,green,76.04794392888212,light green,27.489065641536126,red,0.0,green,118.19984401206801,green,53.6634487535321,green,127.35645449705281,red,0.0,red,0.0,green,168.86810750231223,pink,15.414603982515475,green,59.446282700744504,green,135.79244537911586,pink,10.631719247443925,red,7.471330259453247,green,76.97127247904936,red,0.0,red,2.2343068322184076
9,Danny Ings,Southampton,43.100065675857095,43.100065675857095,38,38,56.59961974274955,47.419832124664595,42.93020035755537,35.34908464077403,34.11596488324868,23.358911143245425,16.993356121875003,21.067406390515625,18.226186841961223,18.226186841961223,14.89058977476148,14.89058977476148,14.89058977476148,14.89058977476148,14.89058977476148,14.89058977476148,14.89058977476148,14.89058977476148,14.89058977476148,14.89058977476148,41.60567409685026,48.40592755079585,52.05639426757398,51.44013306296593,54.50973133145434,54.50973133145434,55.183555211938874,54.610274878136124,36.4304874967219,40.21814214062284,37.244789085514945,47.775061447521104,39.550267446327105,39.18032474263903,55.386607326727,64.88510230911997,61.060473649023905,57.08626897509372,46.55599661308757,47.02162582016409,46.95815815582727,43.61196523127122,25.32237727338379,green,84.14705016647557,green,73.64798253693583,green,54.858382261208725,pink,13.5354484848283,green,110.39153967392306,light green,48.87271358184929,pink,10.74422149402615,pink,19.88853683988085,white,,light green,42.22056016717124,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,1.790572243739337,red,4.903610182150796,light green,35.09216349390034,red,4.313828432256304,light green,39.26257337451054,white,,red,0.0,pink,18.871380696773066,green,188.79616249836076,green,52.50538435976995,green,60.645430511347236,red,0.0,green,60.74976125392934,red,4.7167671633917605,pink,14.858418360153781,green,61.53765082846123,green,79.01896686707651,light green,39.83195912559199,green,73.71190653404307,red,3.1762032455713727,red,2.1271682375752534,green,128.30239644876954,green,128.02711570521203,green,52.24656624640413,pink,12.012526408080618,red,0.0,red,6.435607695107013,red,1.682894587217484,green,104.8790459768773,red,0.0
10,Dominic Calvert-Lewin,Everton,42.94754431212611,45.333518996133115,38,36,19.424795892545056,23.29634885736976,18.952511652458423,19.099632355671663,29.72180685685433,49.03113853541509,67.48910747433915,73.36370069899219,75.79611307567734,75.79611307567734,86.8416808170017,86.8416808170017,86.8416808170017,86.8416808170017,86.8416808170017,86.8416808170017,86.8416808170017,86.8416808170017,86.8416808170017,86.8416808170017,91.73464272729267,79.52050062175711,75.4870626063246,60.466142618883296,54.45989411527646,54.45989411527646,50.40669469894167,56.91665281728687,49.73138527077689,50.576661719289916,34.73567870898283,31.231720117490095,37.35156043463411,39.139368376960746,18.510053063758363,14.087708168963161,41.05560661570088,41.05560661570088,49.735382682651434,43.379115293496014,43.70763841481518,43.70763841481518,44.5052869711637,red,0.0,green,51.923386609109095,light green,45.97270879460688,pink,14.211383999271993,red,3.9556254302517244,pink,13.613459020639887,red,6.297007393935803,light green,27.10087075377294,white,,pink,21.516526174729762,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,47.00255371709952,green,88.56660550755066,green,139.12094718017704,green,142.8192415931083,light green,47.419159966507195,white,,light green,44.12775739056892,green,98.83550036400027,green,81.25328708913631,red,3.067610768801682,green,110.88688107214956,light green,37.67280168101915,red,5.375420441259353,pink,15.75536147622534,green,144.40520719241664,light green,30.956414263566415,red,8.984545908392919,red,0.0,pink,13.14509154057001,light green,48.21430266126742,light green,28.27001707251178,red,0.0,red,0.0,green,197.759835035557,red,0.0,green,73.90352400922383,red,3.720430937179519,light green,30.56967892174597,red,0.0,red,5.583539894439637
11,Raul Jimenez,Wolves,42.927791780035385,42.927791780035385,38,38,24.075977157330687,25.655284791973703,32.70082788337922,35.10464028187901,29.50280234668407,42.99234963670724,53.13467324933648,54.05635322478924,66.59436092163247,66.59436092163247,81.79354571870218,81.79354571870218,81.79354571870218,81.79354571870218,81.79354571870218,81.79354571870218,81.79354571870218,81.79354571870218,81.79354571870218,81.79354571870218,83.67196377201948,76.4621705398047,64.27995129375356,69.41762299812353,73.07653042079063,73.07653042079063,61.55671209623756,36.84694835256461,33.64906227428327,39.33289773061342,47.860583954179965,37.16207979763692,35.447231687272186,33.147945769544336,43.59058968870876,41.283908014184455,35.91186809477663,27.560126899456783,23.378988756674115,27.356217594593037,40.13640774119425,31.872123676761987,32.707656839251925,red,1.7725666659009907,pink,17.255250986384134,light green,27.30765171773253,green,104.39193275631442,red,0.0,pink,10.08816178195121,red,7.716276193031521,pink,12.82772010840211,white,,green,66.57405262622274,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,44.134338507231035,green,65.1790672099499,green,94.4268310301622,green,81.08442707035589,pink,14.168036021200832,white,,green,100.59377398630473,green,172.96834620571067,green,57.28326488045213,pink,14.710514584446413,red,9.151296307804252,green,117.04812900094574,light green,39.78038797987047,pink,19.9550457144333,red,0.0,light green,34.898062332482695,green,54.49736277875749,green,68.8450998727701,light green,42.15859990514441,light green,27.77645120731735,red,3.860044290338343,green,73.09850743415096,pink,18.751290610812482,pink,16.89308334290275,pink,10.382911505531201,pink,12.890632905665715,green,55.617053072749826,green,93.32137531654679,pink,15.248518983125173,pink,24.600022748242065
12,Pierre-Emerick Aubameyang,Arsenal,42.00460719883413,44.338196487658244,38,36,41.89216748105197,29.445113751802165,33.88703289586681,41.982024925676754,39.1433597346502,37.01681060743723,40.92067009750433,42.44585930737312,37.82971265542033,32.00755693933387,29.759131614586984,29.759131614586984,29.759131614586984,29.759131614586984,29.759131614586984,29.759131614586984,29.759131614586984,29.759131614586984,29.759131614586984,29.759131614586984,31.59722356440898,31.59722356440898,32.952444601548436,34.29770535432245,36.53548838312208,36.53548838312208,38.594618643634206,46.04563404388798,43.07215618388867,53.56958599212789,51.70196605355293,46.288125031756294,44.291838240074945,44.32671954958825,38.185884798269306,44.800405717754195,40.573563860009756,40.96558819109699,48.437380153038994,45.992730377456795,49.42225855459698,51.23286763183819,49.96785511282561,green,119.44240266841811,red,9.661656004152794,red,0.0,pink,21.908316194600953,green,63.860286275585956,pink,16.318492740338733,green,62.05401848426721,light green,32.31302656366952,light green,40.755090012605294,green,56.664944208669624,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,2.037659857415055,white,,light green,48.974442385095166,light green,43.645509170808445,green,72.73034295334875,white,,red,0.0,red,0.0,light green,40.92596693544145,pink,14.904303506169043,green,58.460989645071386,green,53.06233444022656,green,88.3948241549461,pink,14.41391182358495,green,52.15710780177644,pink,20.111621915446225,green,88.38631216384363,light green,45.387650075046544,pink,15.165447287650142,green,74.42081661317674,pink,14.658080990177988,red,9.17126454254391,green,66.41326835184041,green,58.798419159632566,light green,48.13182039265722,green,67.46799102124412,green,57.30826818410136,light green,38.66477823015927,pink,21.84552808323238,green,57.558180718752425
13,Sadio Mane,Liverpool,39.24772108139221,42.61181145979725,38,35,25.379715314170948,28.212278478838645,28.212278478838645,24.858230980424533,21.464066034287608,30.147483106701152,25.098881624514622,21.555011300917304,18.06650508432167,18.06650508432167,18.06650508432167,18.06650508432167,18.06650508432167,18.06650508432167,18.06650508432167,18.06650508432167,18.06650508432167,18.06650508432167,18.06650508432167,18.06650508432167,23.528813278674697,25.5817153331246,37.25409374200744,49.73082183288928,68.66171211569463,70.43070364808514,70.43070364808514,67.07216799600562,71.48000657392933,54.85069772082229,52.49653036280995,43.39054406260677,43.39054406260677,44.39680990485725,44.39680990485725,47.42670793467737,55.20237705901204,52.32593219869239,50.74644109868939,46.306782094119875,47.253029899872054,51.29681713095558,38.782035334155104,red,4.591601363495631,red,0.0,green,75.14611106184681,pink,23.759154622958455,red,7.04959564690767,light green,42.304452238806896,pink,24.807092265181183,pink,24.419543516169476,white,,red,0.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,51.667778572948045,red,0.0,green,67.83351515380245,red,6.964241863501179,red,0.0,red,0.0,red,0.0,green,89.90393593341923,pink,14.370314381149324,green,149.54016401598233,green,94.30133849967412,green,132.51623197963738,white,,pink,12.382940726733645,red,0.0,green,66.39418636886253,light green,45.22518442661532,light green,33.13500204423311,green,77.82216699358767,green,68.77432787821513,pink,19.426801622486927,red,0.0,green,87.6034725776034,green,99.65486829695807,pink,12.999888021995549,green,66.76572929356665,light green,37.69671484622852,light green,26.050536262752168,light green,28.306510617584728,red,0.0
14,Sergio Aguero,Man City,38.53575624600474,61.014947389507505,38,24,0.0,0.0,1.169319439868531,8.294103639755013,8.294103639755013,26.11144016888048,32.628731705834845,47.04412099760212,56.2529846416627,74.89309915236122,82.08255469308736,82.08255469308736,82.08255469308736,82.08255469308736,82.08255469308736,82.08255469308736,82.08255469308736,82.08255469308736,82.08255469308736,82.08255469308736,82.08255469308736,82.08255469308736,69.7908459354611,63.27355439850675,48.85816510673947,48.85816510673947,39.649301462678885,19.839867512111834,5.525627771499208,5.525627771499208,7.742239253366248,11.743628142084285,26.517180822519325,26.517180822519325,26.517180822519325,32.08008927021283,33.849094334722864,56.07880048117186,62.347850042744206,53.49670584182928,68.21697289564645,78.1022391848708,81.21172996089987,red,0.0,red,0.0,red,0.0,red,0.0,red,0.0,red,0.0,red,0.0,red,0.0,red,8.185236079079717,light green,49.87348939920538,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,0.0,white,,green,124.72135570387827,light green,45.621040758680536,green,100.90772504237096,white,,green,64.46204550842405,green,138.66603765396934,green,100.1996781842884,red,0.0,light green,38.67939440049445,red,0.0,red,0.0,red,0.0,red,0.0,red,0.0,red,0.0,green,54.19567477356373,light green,28.009722221026266,green,103.41486876304529,red,0.0,red,0.0,light green,38.94035913385455,pink,12.383035451570208,green,209.80361779870674,green,71.89306915203262,light green,41.456859356640855,green,103.04186937672016,green,69.1968640245704,green,60.706794566058115
15,Neal Maupay,Brighton,34.89014189106794,35.83311869893464,38,37,19.78895278757108,30.995789702829303,35.04813433361053,31.664368538284975,39.34092799972216,37.83483047875715,36.91528837175604,35.944153631366206,39.04713154247044,39.04713154247044,35.8957124802951,35.8957124802951,35.8957124802951,35.8957124802951,35.8957124802951,35.8957124802951,35.8957124802951,35.8957124802951,35.8957124802951,35.8957124802951,36.88357079024409,36.54706414637916,29.754667830363065,29.754667830363065,30.220236724398337,30.220236724398337,31.367655811899322,35.042833971981196,39.362294481070045,32.02224166349779,30.968960396401915,31.888390601384398,41.96864326560543,37.792802742689204,35.25720693047639,45.81637491644557,45.81637491644557,51.29397636282725,52.88253336426391,44.372030573757755,37.50877175494048,39.698528381655464,28.902240008677836,pink,11.887367847968871,pink,11.849722302276257,pink,23.686360567278907,red,0.0,green,77.86448086373692,red,6.436794749007748,red,6.797943182728861,green,90.33522625477643,white,,light green,40.216134717744865,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,0.0,green,53.735916230060276,green,67.32179821698185,red,0.0,red,0.0,white,,green,112.05607163250609,pink,18.1562012825175,red,6.915008169642905,green,51.3803697230058,pink,19.775024004869145,red,0.0,red,3.2589822582468924,green,120.08800524501304,light green,43.882448403090585,light green,37.15123173326487,red,0.0,pink,12.40205513519802,red,6.436011434877364,green,73.82075090779418,green,90.8571215845994,light green,26.133277717600894,green,111.06540763504914,red,0.0,green,50.7452652598698,pink,17.55591044493386,pink,14.247231374251188,light green,42.81430985287847,light green,41.461574104605795,light green,35.49138902420573
